Company,CVR,Country,Street,gPlaces (needs domain clean up),gSearch,rapid
ALTERNATIV DESIGN APS,10372100,DK,HAMMERVEJ 9,,,
M A T APS,26596300,DK,GERSONSVEJ 7,,miniature.dk,
AMER SPORTS SVERIGE AB,30262700,DK,C/O AMER SPORTS DANMARK APS KOKKEDAL INDUSTRIPARK 14,http://www.amersports.com/,,
STAAG A/S,30906500,DK,AMALIEGADE 6 2. TV.,,,
FOOT LOCKER DENMARK 2009 B.V. FILIAL AF FOOT LOCKER DENMARK B.V. HOLLAND,33268300,DK,C/O CITCO (DENMARK) APS NYBROGADE 12,https://stores.footlocker.dk/en/dk-84/copenhagen/amagertorv-11-587_31_09251.html,,
IMAGE KOMPAGNIET APS,10001366,DK,ANDKÃ†RVEJ 22,http://www.imagekompagniet.dk/,,
ANGLO FOOTWEAR IMPORTERS APS,10062861,DK,TVEDVANGEN 278,,,
LOTTE SANDBÃ„CK APS,10063566,DK,VORDINGBORGVEJ 3 A,,,
MESSAGE A/S,10089859,DK,A F HEIDEMANNS VEJ 19,https://message.dk/,message.dk,
DB&P APS,10147069,DK,HOSTRUPSVEJ 2,,,
SHAKUR A/S,10151821,DK,C/O Ã…SE JÃ˜RGENSEN HIRTSHALSVEJ 7 HJÃ˜RRING,,,
HUST INNOVATION A/S,10154804,DK,MARSVEJ 6,,,
NORDIC COMPANY PARTNERS APS,10160960,DK,C/O LENE BACKS OG PER BIRK MÃ˜NSTED TVÃ†RGADE 8,,,
ACCSS APS,10168007,DK,SINDALSVEJ 7,,,
JONIK TRADING APS,10205476,DK,FRÃ˜DINGS ALLE 12,,,
T.D.T. INTERNATIONAL APS,10213487,DK,C/O CPH:OFFICE H.C. Ã˜RSTEDS VEJ 50 C 1.,,,
MASAI CLOTHING COMPANY APS,10279488,DK,HAMMERENSGADE 1 ST. TV.,,masai.dk,
TRISAR TRADING APS,10508304,DK,KONG CHRISTIANS ALLE 40,https://www.trisar-trading.dk/index.php?route=information/contact,,
SKOIMPORT APS,10570603,DK,ROSBÃ†KSVEJ 9,,,
BACHER WORK WEAR A/S,10626870,DK,KIRSTINEHÃ˜J 5,http://www.bacher.com/,bacher.com,
BJERREGAARD SIKKERHED A/S,10970970,DK,BALDERSBUEN 33 BALDERSBR,https://www.bjerregaard.dk/,,
DIESEL DENMARK APS,11109977,DK,STRANDLODSVEJ 6,https://storelocator.diesel.com/1439454-diesel-store-copenhagen-ostergade#,,
TRIM LUND TRADING APS,11125441,DK,NOKIAVEJ 20,,trimsko.dk,
MININOR GLOBAL APS,39464020,DK,BLOKKEN 26,,,
SOFTGOODS INNOVATION APS,39485974,DK,AUSTRALIENSVEJ 31 3. TH.,,,
EYDA APS,39490188,DK,C/O CASPER JEPPESEN LENE HAUS VEJ 10 A,https://eyda.dk/,eyda.dk,
BRANDDESIGN DK APS,39500620,DK,C/O BDO STATSAUTORISERET REVISIONSAKTI JEPPE AAKJÃ†RS VEJ 10,,,
ALURA COPENHAGEN APS,39533618,DK,SOMMERVEJ 3,http://aluracopenhagen.dk/,aluracopenhagen.dk,
LLOYD SHOES NORDIC DENMARK FILIAL AF LLOYD SHOES NORDIC AB SVERIGE,39534428,DK,C/O BEIERHOLM STATSAUT. REVISIONSPARTN KNUD HÃ˜JGAARDS VEJ 9,https://www.lloyd-shop.dk/,,
BLACK SHEEP APS,39548623,DK,BUEN 36,,,
HERSKIND APS,39557789,DK,C/O HIHOUSE KRONPRINSENSGADE 13 4. TH.,,,
SL-GREVE APS,39588579,DK,STRANDLYST ALLE 2 B,,,
KAPADA APS,39614944,DK,DAGMAR PETERSENS GADE 78 ST. TH.,,,
VAGABOND SHOEMAKERS DENMARK APS,39638592,DK,C/O BUSINESS SWEDEN LANDGREVEN 3 ST. TH.,,,
BUNGALOW PRODUCTION APS,39641763,DK,ELLEKILDEN 7 BODERNE,,,
HOOHA APS,39652285,DK,ELMEGADE 20 KL. TV.,,,
FORCRYINGOUTLOUD APS,39751364,DK,STRANDVEJEN 100,,,
NORQ APS,39769603,DK,GEISLERSGADE 18 1. TV.,,,
VICCA.DK APS,39780178,DK,RAVNSHÃ˜JVEJ 66,,,
CANDEE SKATEBOARDS APS,39779129,DK,DÃ˜RSLUNDVEJ 20 E,,,
MLV TACTICAL HOLDING APS,39800918,DK,KALBYVEJ 32,http://www.mlv-tactical.com/contact,,
NEPALI VIBE APS,39818779,DK,C/O THOMAS DEGN FRIIS ENGDALSVEJ 26,,nepalivibe.com,
EVERLEIGH & ME APS,39824124,DK,STORE KONGENSGADE 49 1. 4.,,,
JUNE LABEL APS,39839245,DK,KOMPAGNISTRÃ†DE 11,,junelabel.dk,
LILBOOCO APS,39850222,DK,VESTERBROGADE 85 4.,,,
NORDIC GARMENT LAB APS,39866463,DK,RÃ˜DTJÃ˜RNEVEJ 14,,consjus.com,
SHOPSOLUTION APS,39879336,DK,RAADYRVEJ 6,,,
HOLY APS,39894955,DK,TORDENSKJOLDSGADE 28 3. TH.,,,
ZINKTWO APS,39900246,DK,C/O KIM MICHAEL.COM APS SNERLEVEJ 4,,,
SMÃ… SPIREVIPPER APS,39907410,DK,MARGRETHESMINDEVEJ 1 Ã˜ VAMDRUP,,,
MIMENTE 2019 APS,39924161,DK,HOLBÃ†KVEJ 79 BENLÃ˜SE,,,
HUMMEL BODH GAYA A/S,39934965,DK,BALTICAGADE 20,,,
EBUY APS,39947145,DK,C V E KNUTHS VEJ 2 D 1. TV.,,,
PUFFINEST APS,39949067,DK,STEVNSGADE 12 3. TV.,,,
ACE & THE LEFTOVERS APS,39967286,DK,C/O CARMA CHO NÃ˜RREBROGADE 49 D 2. TH.,,frederiksbergliv.dk,
MAAK-SHOP APS,39969882,DK,HOUMEDEN 15,https://maak-shop.dk/,maak-shop.dk,
NORDFORM APS,39989638,DK,ERHVERVSPARKEN KLANK 11,,nordformstore.dk,
FAMILIEN RÃ˜NTVED APS,40004386,DK,ODINSVEJ 11,,,
WHITEOUT NORWAY AS,40006664,DK,C/O KGH CUSTOMS SERVICES APS FÃ†RGEHAVNSVEJ 31 1. MF.,,,
INSECT STOP APS,40062963,DK,TREHÃ˜JEVEJ 47,https://www.insect-stop.com/kontakt/,,
EVA & CLAUDI AF 2018 APS,40068570,DK,GL. STATIONSVEJ 1 HYLLESTED,https://www.eva-claudi.com/,eva-claudi.com,
APUS DENMARK APS,40080937,DK,BYTOFTEN 10,,findsmiley.dk,
TRIPLE TRADING APS,40080945,DK,NYMÃ˜LLEVEJ 50,https://tripletrading.dk/,,
ELBOTH & CO. APS,40088326,DK,FRANKRIGSVEJ 5,,,
BAKKEKILDE VINTAGE APS,40089195,DK,KRONPRINSESSEGADE 18 3.,,,
07.12.2018 APS,40090770,DK,AGERSKELLET 2,,randersbiz.dk,
BELLA BELUGA WEAR APS,40108440,DK,MARKEDSPLADSEN 13,,bellabeluga.dk,
FRERES APS,40114130,DK,C/O ERHVERVSSTYRELSEN DAHLERUPS PAKHUS LANGELINIE ALLÃ‰ 17,,,
LANGSAMT APS,40131388,DK,DYBBÃ˜LSGADE 66 ST. TH.,,greentown.dk,
BYGAIA APS,40146482,DK,GAIAS ALLE 14,,,
HUMMEL NORTH AMERICA APS,40149619,DK,BALTICAGADE 20,,,
GULDAGER SKO APS,40152628,DK,ALGADE 28,,,
ZOEY APS,40159843,DK,NEPTUNVEJ 18,,trustedshops.eu,
UNIFORMPARTNER DK A/S,40180184,DK,TILSTEDVEJ 73 TILSTED,,,
CRAS APS,40189696,DK,ROSENÃ˜RNS ALLE 39 A ST. TH.,,,
SCANDINAVIAN FOOTWEAR APS,40192719,DK,LAKSEGADE 26 2. TV.,,,
ALTISTÃ˜TTESTRÃ˜MPER.DK APS,40216375,DK,HJORTEHÃ˜J 9 SINDING,,,
MONTH OF MAY APS,40232427,DK,BRODERSENS ALLE 3,,,
A SAREEÂ´S STORY APS,40237909,DK,DAMGADE 6 2.,,,
PORTWEST FILIAL AF PORTWEST INTERNATIONAL SALES LIMITED IRLAND,40244344,DK,C/O JOHN JUEL SONDERGAARD RÃ˜RBÃ†K MÃ˜LLEVEJ 6,,,
SUSTAINABLE RETAIL HOLDING APS,40249176,DK,GLESBORG KÃ†RVEJ 5,,,
SUSTAINABLE RETAIL APS,40251731,DK,GLESBORG KÃ†RVEJ 5,,,
JUNEBUG APS,40257047,DK,EMILIEDALEN 179,,,
ISSA VIBE BRAND APS,40275207,DK,GYDEVANG 39,,,
DREAM INVESTMENT APS,40296336,DK,KLINTEBAKKEN 110,,,
MAGGIO APS,40298754,DK,LANGEBAKKEN 1,,bymaggio.dk,
AND BORDING APS,40300929,DK,LANGDALSVEJ 46,,a-view.dk,
MY ALPACA COPENHAGEN APS,40313753,DK,C/O ANNE-METTE NYHUUS AMSTERDAMVEJ 31 ST.,,myalpaca.dk,
ISOLÃ‰S APS,40324615,DK,ISLEVDALVEJ 100 H,,,
KERING EYEWEAR UK LTD,37008672,DK,C/O INTRAVAT APS VENTRUPVEJ 6,,,
BOHOBEACH.SHOP APS,40337237,DK,MOSEVEJ 12 C,https://bohobeach.shop/,bohobeach.shop,
FODBOLDSHIRTS APS,40366423,DK,C/O PETER JENSEN THEODORE ROOSEVELTS VEJ 15 ST. TH.,,,
KL OUTLET APS,40400583,DK,C/O KARINA LYNGE CLAUDISVEJ 15 ST. TV.,,,
NETUGLEN APS,40408851,DK,BRANDTS PASSAGE 31 A 2.,,,
ZS AGENTUR APS,40417001,DK,C/O ZORAN SVALINA KRAGELUNDTOFTEN 32 KRAGELUND,,,
STYLESTORE.COM A/S,40421734,DK,SYDKROGEN 12 JELLING,,,
LULU MOSQUITO APS,40445307,DK,HAVNEÃ˜EN 1,,,
ITALIST INC,40443282,DK,,,,
KONTOOR INTERNATIONAL SAGL,37009423,DK,C/O 18/6 1992 STATSAUTORISERET REVISIONSAKTI DIRCH PASSERS ALLÃ‰ 36,,,
BRANDCUTS WHOLESALE APS,40483497,DK,TROLDHOLM 1,http://www.brandcuts.dk/,brandcuts.dk,
FAR OUT APS,40488073,DK,STRIB LANDEVEJ 123 B STAURBY,,outbackboots.dk,
DEJLIGT BARN APS,40489886,DK,BRENDSTRUPGÃ…RDSVEJ 23 1.,,dejligtbarn.com,
LUXURY BY HO APS,40494669,DK,C/O SOHO FLÃ†SKETORVET 68 1.,,,
THORUP SMYKKER I/S,40490809,DK,C/O NICOLINE THORUP GLYÃ˜ SÃ˜NDERGADE 36,,,
ROBERT FAROE APS,40506721,DK,C/O KENNETH ROBERT JENSEN DIANAS HAVE 72,,,
CHRIS COPENHAGEN APS,40535667,DK,C/O MATHIAS HENNINGSEN HARALD KIDDES VEJ 47,,,
BAMBINO MAM AKTIEBOLAG,40537090,DK,,https://bambino.se/,,
KAWAITREND APS,40549765,DK,C/O MEIJIN DENG UNDER LINDEN 79 HALGÃ…RDE,,,
KLITMÃ˜LLER COLLECTIVE APS,40558187,DK,VANGSÃ…VEJ 12 KLITMÃ˜LLER,,,
T. TYGESEN INVEST APS,40568751,DK,HÃ…NDVÃ†RKERVEJ 4,,,
TEELOGISTICS APS,40569464,DK,C/O BENJAMIN PHILIP KNUDSEN C.W. OBELS PLADS 16,,,
BERTRAM APS,40569510,DK,C/O BENJAMIN PHILIP KNUDSEN C.W. OBELS PLADS 16,,,
NORTH BRANDS APS,40596380,DK,KANONBÃ…DSVEJ 12 A,,,
PETITE PARIS APS,40597832,DK,C/O CHRISTIAN KROGH UDBYHÃ˜JVEJ 99,,,
THAT'S MINE APS,40618406,DK,SÃ˜GÃ…RDSVEJ 53 GELSTED,,thatsmine.com,
CFY A/S,40628991,DK,DUEODDEVEJ 3,,cfy.dk,
CARLSBÃ†K GROUP APS,40633243,DK,DYBBÃ˜LSBRO 3 15. 6.,,,
NORDIC SELLER GROUP APS,40636854,DK,MÃ…NELYSVEJ 4,,,
BÃ˜RNEFIDUSEN APS,40667245,DK,C/O POPPELHUSENE 49 2600 GLOSTRUP RYTTERHUSENE 38,,,
ACM CLOTHING APS,40676171,DK,FABRIKSPARKEN 23,,online-mode.dk,
SACHA PANDURO AGENTUR APS,40677186,DK,HÃ˜JAGERVEJ 6 KARLSTRUP,https://panduro.com/da-dk,,
PREMIUM APS,40685642,DK,DAMSHOLTEVEJ 3 B GUNDERÃ˜D,,pelupelu.com,
F2D APS,40701656,DK,C/O FIRSTHUB DALBYGADE 40 A 2.,,,
FASHION BOUTIQUE.DK I/S,40707263,DK,GL. NÃ†STVEDVEJ 10,,,
TJUBANG SKO APS,40737227,DK,GODTHÃ…BSVEJ 18 A ST. 1.,https://tjubangsko.dk/,,
ADIDAS INTERNATIONAL TRADING AG,37010588,DK,,,,
NORDIC APPAREL RETAIL APS,40748458,DK,GRÃ˜NNEGADE 27 ST. TV.,http://nordicsportswear.dk/,,
NANNABANANAS APS,40756639,DK,GODSBANEGADE 13 3.,,,
JET BUSINESSES APS,40761853,DK,C/O KVIST REVISION APS KAY FISKERS PLADS 10,,,
MASTER CORE APS,40764631,DK,LYNGBAKKEN 18 ALSÃ˜NDERUP,,,
KHV 1973 APS,40768882,DK,TYRSBAKKE 13 SÃ˜LLERÃ˜D,,,
DM AIRWAIR DENMARK FILIAL AF DM AIRWAIR SWEDEN AB,40782613,DK,C/O TMF DENMARK A/S H.C. ANDERSENS BOULEVARD 38 3. TH.,,,
SKJORTEN.DK APS,40785388,DK,TYRSBAKKE 13 SÃ˜LLERÃ˜D,,,
_ACT NOW APS,40786368,DK,AGGERSBORGGADE 9 2. TV.,,,
OLLERUP & SKJÃ˜TH APS,40786945,DK,LUMBYVEJ 34 NÃ†SBY,,,
BELLA MODA TRADE APS,40789065,DK,GEDDEBAKKEN 1,http://www.bellatrading.dk/,,
AC LUXURIES APS,40790209,DK,SVERIGESGADE 6,,,
HOUSE OF BALL INTERNATIONAL APS,40800972,DK,DJALMA LUNDS GÃ…RD 3,http://www.balloriginal.com/,balloriginal.dk,
UNIC SHOES I/S,40810366,DK,NÃ˜RREGADE 45,,unicshoes.dk,
TOPOLOGIE LIMITED,37010979,DK,,,,
BALAERKE APS,40831258,DK,GL. Ã…RHUSVEJ 68,,,
A STORY TO TELL APS,40836322,DK,C/O ANAS SARRAJ JULIUS VALENTINERS VEJ 8 ST. TH.,,,
PRETTY CURVES APS,40842675,DK,BANEGÃ…RDSVEJ 11,,,
MÃ†STEREN APS,40850295,DK,HOUVEJ 177 ULSTED,,,
WAYCPH APS,40889825,DK,HEILSMINDEVEJ 7 ST.,,,
NC 1109 APS,40907955,DK,FJORDLÃ˜KKE 104,,,
E T A L LIFESTYLE APS,40908641,DK,A.M.G. FRIIS VEJ 20,,,
AMANDA CHRISTENSEN APS,40914242,DK,C/O TRANSAKTIONSKOMPAGNIET APS LYNGEBÃ†KGÃ…RDS ALLE 10,,,
CPH RUN SHOP APS,40916113,DK,DAMHUSTORVET 11 B,http://cphrunshop.dk/,,
LEON & NOEL APS,40917640,DK,EMDRUP KÃ†RVEJ 6,,,
PRIIME APS,40921001,DK,HÃ˜JE NIBE 9,,,
AMORINO MIO APS,40927662,DK,STORE KONGENSGADE 69 4. TH.,,,
JODIS APS,40934847,DK,OLIEFABRIKSVEJ 61,,,
DIGIMOTION APS,40948082,DK,C/O DIANA LI BERNSTORFFSGADE 23 3.,,,
CLEARO2 EUROPE APS,40948430,DK,C/O BRIAN KENNETH JENSEN OTTO BRANDENBURGS VEJ 82 2. TH.,,,
BY2MC APS,40960457,DK,HÃ˜JE NIBE 9,,,
ARBEJDSTÃ˜J MED TRYK APS,40974652,DK,TEMPOVEJ 35,,,
KRISTINE ELINE APS,40979433,DK,REBERBANEGADE 41 3. TV.,,amagerliv.dk,
ZEUTHEN SOCI APS,40982574,DK,SKELSTEDET 2 C 1. TH. TRÃ˜RÃ˜D,,,
GVSX APS,40986332,DK,HINDEGADE 6,,,
NEW BOOTS.DK APS,40992170,DK,HADSUNDVEJ 13,,,
NIRANTEX APS,40998659,DK,DYRBALLEVEJ 4,,,
VIMPULZE I/S,40999019,DK,C/O GLENN SEBASTIAN BJERREGAARD JENSEN OG MA BLÃ…KILDEVEJ 11 B 2. 1.,,,
URBANOUTDOOR APS,41027851,DK,BONDESHÃ˜JVEJ 1 VITTEN,,,
SILLYSANTA AS,41001569,DK,C/O KGH CUSTOMS SERVICES APS FÃ†RGEHAVNSVEJ 31 1. MF.,,sillysanta.dk,
HANDELSGAARDEN KOUSTRUP APS,41064498,DK,DALSBROVEJ 58 VOLDUM,,,
VILLADSEN & CHRISTIANSEN APS,41078022,DK,C/O BJARNE VANG VILLADSEN MÃ˜LLERS BAKKER 17,,,
OLIKT APS,41079606,DK,C/O NILS RUNE VAD PETERSEN GRÃ˜NDALSVEJ 8 1. TV.,,olikt.com,
TATELA APS,41101237,DK,DYREHAVEGÃ…RDSVEJ 20,,,
LOHA I/S,41101407,DK,VESTERBRO 8,,,
NUVEL STUDIO APS,41103434,DK,BÃ˜GHSVEJ 1,,nuvelstudio.com,
WOOLFIE APS,41147377,DK,GODTHÃ…BSVEJ 137 ST. TV.,,woolfie.dk,
LIMITED EDITIONS APS,41154306,DK,STRANDHOLMS ALLE 7 A,,,
BYROOS APS,41162643,DK,JACOB HANSENS VEJ 9 TAULOV,,byroos.dk,
COÃ‰ME APS,41177063,DK,ENEBÃ†RHAVEN 203,,,
DANSK PROFILBEKLÃ†DNING APS,41187174,DK,FUGLEBÃ†KVEJ 3 D ST.,,,
EPIC VISION GROUP APS,41196769,DK,EMTEDALEN 1 B,,,
NORDREX APS,41207612,DK,KARETMAGERVEJ 13 A ST. TV. SNOGHÃ˜J,,,
FOOTZONE WHOLESALE APS,41226838,DK,IVAR LUNDGAARDS VEJ 23,,,
CUSTOMIZED SPORT APS,41229543,DK,SATURNVEJ 5,,,
MARANG APS,41238747,DK,THORVALDSENSVEJ 16 4.,,,
JJFC APS,41241667,DK,IBSTRUPVEJ 7 B,,,
BUUMP APS,41245085,DK,SLOTSALLEEN 5,,buump.com,
THE STAPLES APS,41248408,DK,C.F. RICHS VEJ 45,,,
M54 INVEST APS,41251158,DK,BREDKÃ†R VÃ†NGE 21 C,,,
DALLAS APS,41271442,DK,TIRSBÃ†KVEJ 5,,marmarcopenhagen.dk,
E.K. ORBIT APS,41280905,DK,NORDRE FASANVEJ 37 A 2. TH.,,,
WOOLSOLUTIONS APS,41285524,DK,C/O PER LYKKE TOLDBODGADE 21 4. 13.,,,
LABEL BRANDS I/S,41221054,DK,C/O SPRINGBORG GL BROVEJ 13,,galiente.com,
APART FASHION GMBH,41289392,DK,C/O DEINTERNATIONAL DENMARK APS KONGENS NYTORV 26 3.,,,
SPONSOR-LINK CPH APS,41310057,DK,GREVE BYGADE 28,,,
DARPDECADE GMBH & CO. KG,41299983,DK,C/O DEINTERNATIONAL DENMARK APS KONGENS NYTORV 26 3.,,,
KIDS GROUP APS,41320982,DK,ARTILLERIVEJ 148 4. TV.,,uploads-ssl.webflow.com,
ELSKBAR APS,41322861,DK,HOVEDGADEN 64,,elskbar.com,
COOLUSION INTERNATIONAL DMCC,37013471,DK,C/O BRIGHT STAR INVEST IVS KASTANIEVANG 2 Ã˜STRUP,,,
LK WEBSHOP APS,41330899,DK,LIND HANSENS VEJ 13 K,,,
HOMIES AND HOODIES APS,41336862,DK,DALVEJ 17,http://hoodyhoody.dk/,,
NORLANDS APS,41338075,DK,MARKSKELLET 28,,,
WAVY COPENHAGEN APS,41343508,DK,LYNGVEJ 25,,,
REDGREEN WHOLESALE APS,41344059,DK,NORDRE STRANDVEJ 119 F 1.,,stiften.dk,
DÃ“TTIR GROUP APS,41361360,DK,FORTEVEJ 99,,,
CALOBA APS,41362111,DK,C/O PETER RABÃ˜L KREBS HANSEN REVLINGBAKKEN 29 1. TV.,,,
AFSTANDSVEST APS,41391804,DK,C/O MORTEN RÃœSZ LADEHÃ˜JVEJ 1,,,
BM AARHUS APS,41399198,DK,C/O MANJA MEILANDT LEEDSÃ˜E BIRKEVEJ 5,,,
GLASA APS,41401222,DK,STRANDVEJEN 343,,,
M.S.B. APS,41401303,DK,C/O SHUHAB MOHAMMAD BABAR HERLEV HOVEDGADE 204,,,
PHINITY APS,41403683,DK,SÃ˜NDERPARKEN 11 1. 1.,,,
GARDEROBEN APS,41408448,DK,ALGADE 30,,,
VINTAGELINE APS,41413506,DK,C/O LINE EDELMANN DYG SCHERFIGSVEJ 11 ST. TH.,,vintageline.dk,
OUTFITTER TEAMSPORT GMBH,41402547,DK,C/O TMF DENMARK A/S H.C. ANDERSENS BOULEVARD 38 3. TH.,,,
COLLECTED APS,41426837,DK,LARS DYRSKJÃ˜TS VEJ 25,,collected.dk,
STUDIO BELLE SOEUR APS,41435933,DK,KAYSERSVEJ 2,,,
IM DENMARK APS,41455101,DK,C/O BECH-BRUUN LANGELINIE ALLÃ‰ 35,,,
SÃ˜REN P APS,41465719,DK,SÃ˜NDERGADE 34,,,
SALLYSSNEAKERS APS,41470240,DK,J.L. HEIBERGS VEJ 32,,,
SASS.DK APS,41473282,DK,HOLSTED PARK 15 B,,,
TREKLÃ˜VER HOLDING APS,41485973,DK,NÃ˜RREGADE 46,,,
FLÃ–SS APS,41486589,DK,DRONNING OLGAS VEJ 49 2. TH.,,,
CV FASHION GROUP APS,41487135,DK,PORSVEJ 2,https://www.modeoutlet.dk/,,
NORDIC FASHION GROUP APS,41508973,DK,HERSLEBSGADE 1 A 3. TV.,http://www.nordicfashionoutlet.dk/,nordicfashionoutlet.dk,
JEWEL-INNOVATION APS,41509899,DK,GL. VIBORGVEJ 2,,,
NSHB FASHION APS,41519134,DK,VÃ†REBROVEJ 22 2. 2.,,,
LIVINGBYKADA APS,41523891,DK,KAGERUP PARK 38,,,
MILLION REASONS APS,41524529,DK,C/O HEIDI NIELSEN NÃ˜RREGADE 26 ST.,,,
HER WARDROBE APS,41561149,DK,ELMEHUSENE 138,,,
DD WEB APS,41561963,DK,STOREGADE 56 STEND-KROGAG,,,
MAMA YARN APS,41566477,DK,GRÃ†SGANGEN 8 BENLÃ˜SE,https://mamasgarn.dk/,,
AK TRADING & AK CONSULT APS,41576154,DK,KROGSBJERGVEJ 8,,,
BOBBI BALLOON APS,41577010,DK,SANKT PAULS GADE 21 ST.,,bobbiballoon.com,
BOKBOK APS,41586842,DK,C/O BADESTUESTRÃ†DE 8 KL. GODTGEMT 5 1. A.,,littlesteps.dk,
ROYAL GRAVERING APS,41622873,DK,AMALIEGADE 26 KL.,http://www.royalgravering.dk/,royalgravering.dk,
LAC NOIR APS,41632038,DK,HJELMAGERPARKEN 508 LÃ˜GTEN,,lacnoir-clothing.com,
AETREX CENTRAL EUROPE DK A/S,41632143,DK,LANGELANDSVEJ 6,,nyemission.dk,
HAWKSGAARD APS,41636041,DK,KOLLEGIEBAKKEN 19 1. 122.,,,
DANSK LAMAUDLEJNING APS,41636297,DK,SKODSBORG STRANDVEJ 288,,,
PARIS NOTES APS,41636726,DK,SOLVÃ†NGET 11,,parisnotes.dk,
EVA GO DIVA OFFICIAL APS,41107499,DK,KOMPAGNISTRÃ†DE 14 D 3.,https://evagodiva.dk/,,
CATTIRE STUDIO APS,41657049,DK,FREDERIK VI'S ALLE 2 4. TH.,,,
RVLV UK LIMITED,37014974,DK,,,,
BERTORE I/S,41652152,DK,C/O OLE BERTORE GERMER EJBYDALSVEJ 221,,,
VALE APS,41662956,DK,VEDDEVEJ 44,,vale-designs.dk,
NOORR APS,41667524,DK,HAVMOSEVEJ 11 C SEJS-SVEJBÃ†K,,,
TROBECK STUDIO APS,41690992,DK,C/O MATILDE TROBECK AXEL HEIDES VEJ 84,,,
MP RETAIL APS,41695056,DK,GASVÃ†RKSVEJ 4,,number-nineshop.com,
HAUGLAND BY LIZZ APS,41698977,DK,C/O LISELOTTE STENKJÃ†R BAKKEVEJ 7 ASSENTOFT,,,
YOUR 2HAND CLOSET APS,41703938,DK,BELLINISVEJ 2,http://www.your2handcloset.dk/,,
SECO I/S,41708484,DK,,,,
